Date,Adj Close
2018-04-18,249.5
2018-04-19,243.5
2018-04-20,245.0
2018-04-23,246.5
2018-04-24,244.5
2018-04-25,233.5
2018-04-26,232.5
2018-04-27,230.5
2018-04-30,222.0
2018-05-01,220.0
2018-05-02,221.0
2018-05-03,219.5
2018-05-04,220.0
2018-05-07,222.5
2018-05-08,224.0
2018-05-09,224.5
2018-05-10,190.1999969482422
2018-05-11,199.0
2018-05-14,200.0
2018-05-15,201.0
2018-05-16,216.5
2018-05-17,221.5
2018-05-18,216.0
2018-05-21,219.5
2018-05-22,214.0
2018-05-23,210.0
2018-05-24,204.5
2018-05-25,201.8000030517578
2018-05-29,202.0
2018-05-30,208.5
2018-05-31,204.0
2018-06-01,204.0
2018-06-04,201.5
2018-06-05,203.5
2018-06-06,208.5
2018-06-07,206.0
2018-06-08,208.5
2018-06-11,214.5
2018-06-12,216.5
2018-06-13,218.5
2018-06-14,230.0
2018-06-15,231.5
2018-06-18,235.0
2018-06-19,235.5
2018-06-20,238.0
2018-06-21,238.5
2018-06-22,240.0
2018-06-25,234.0
2018-06-26,236.0
2018-06-27,224.5
2018-06-28,220.0
2018-06-29,223.0
2018-07-02,217.0
2018-07-03,212.0
2018-07-05,205.5
2018-07-06,211.5
2018-07-09,211.5
2018-07-10,209.5
2018-07-11,210.0
2018-07-12,214.5
2018-07-13,209.5
2018-07-16,213.5
2018-07-17,221.0
2018-07-18,216.0
2018-07-19,223.5
2018-07-20,216.0
2018-07-23,218.0
2018-07-24,209.5
2018-07-25,212.3000030517578
2018-07-26,206.5
2018-07-27,204.0
2018-07-30,209.0
2018-07-31,219.5
2018-08-01,213.5
2018-08-02,218.0
2018-08-03,214.0
2018-08-06,218.0
2018-08-07,211.5
2018-08-08,223.0
2018-08-09,222.5
2018-08-10,222.5
2018-08-13,224.0
2018-08-14,229.5
2018-08-15,218.0
2018-08-16,218.0
2018-08-17,220.5
2018-08-20,219.5
2018-08-21,226.5
2018-08-22,233.0
2018-08-23,233.5
2018-08-24,231.5
2018-08-27,239.0
2018-08-28,238.0
2018-08-29,238.0
2018-08-30,242.0
2018-08-31,246.0
2018-09-04,242.0
2018-09-05,235.5
2018-09-06,236.0
2018-09-07,223.5
2018-09-10,217.0
2018-09-11,216.5
2018-09-12,213.5
2018-09-13,208.0
2018-09-14,214.5
2018-09-17,210.5
2018-09-18,225.0
2018-09-19,221.0
2018-09-20,221.5
2018-09-21,225.5
2018-09-24,232.0
2018-09-25,225.5
2018-09-26,227.5
2018-09-27,234.0
2018-09-28,229.5
2018-10-01,219.39999389648438
2018-10-02,204.89999389648438
2018-10-03,199.6999969482422
2018-10-04,190.1999969482422
2018-10-05,201.60000610351562
2018-10-08,184.10000610351562
2018-10-09,180.10000610351562
2018-10-10,173.6999969482422
2018-10-11,165.8000030517578
2018-10-12,165.5
2018-10-15,161.1999969482422
2018-10-16,170.0
2018-10-17,171.6999969482422
2018-10-18,165.5
2018-10-19,167.3000030517578
2018-10-22,160.39999389648438
2018-10-23,156.6999969482422
2018-10-24,152.1999969482422
2018-10-25,148.3000030517578
2018-10-26,149.60000610351562
2018-10-29,144.0
2018-10-30,146.5
2018-10-31,149.39999389648438
2018-11-01,156.10000610351562
2018-11-02,161.8000030517578
2018-11-05,160.10000610351562
2018-11-06,163.0
2018-11-07,144.1999969482422
2018-11-08,149.6999969482422
2018-11-09,146.6999969482422
2018-11-12,144.89999389648438
2018-11-13,148.1999969482422
2018-11-14,142.10000610351562
2018-11-15,144.39999389648438
2018-11-16,144.3000030517578
2018-11-19,132.60000610351562
2018-11-20,129.10000610351562
2018-11-21,133.6999969482422
2018-11-23,135.0
2018-11-26,131.89999389648438
2018-11-27,130.1999969482422
2018-11-28,140.1999969482422
2018-11-29,139.60000610351562
2018-11-30,147.6999969482422
2018-12-03,150.10000610351562
2018-12-04,143.3000030517578
2018-12-06,149.10000610351562
2018-12-07,141.5
2018-12-10,142.3000030517578
2018-12-11,136.89999389648438
2018-12-12,140.60000610351562
2018-12-13,130.60000610351562
2018-12-14,128.89999389648438
2018-12-17,122.80000305175781
2018-12-18,115.9000015258789
2018-12-19,111.69999694824219
2018-12-20,106.5
2018-12-21,104.19999694824219
2018-12-24,105.0999984741211
2018-12-26,109.0
2018-12-27,109.9000015258789
2018-12-28,117.80000305175781
2018-12-31,115.0
2019-01-02,118.9000015258789
2019-01-03,117.5999984741211
2019-01-04,130.3000030517578
2019-01-07,146.1999969482422
2019-01-08,144.60000610351562
2019-01-09,150.5
2019-01-10,156.6999969482422
2019-01-11,150.3000030517578
2019-01-14,151.6999969482422
2019-01-15,159.0
2019-01-16,159.89999389648438
2019-01-17,163.0
2019-01-18,167.60000610351562
2019-01-22,168.5
2019-01-23,165.60000610351562
2019-01-24,173.5
2019-01-25,189.3000030517578
2019-01-28,200.8000030517578
2019-01-29,174.10000610351562
2019-01-30,183.1999969482422
2019-01-31,182.10000610351562
2019-02-01,184.0
2019-02-04,182.60000610351562
2019-02-05,190.10000610351562
2019-02-06,183.39999389648438
2019-02-07,187.5
2019-02-08,189.89999389648438
2019-02-11,194.6999969482422
2019-02-12,187.89999389648438
2019-02-13,194.0
2019-02-14,191.5
2019-02-15,197.89999389648438
2019-02-19,194.6999969482422
2019-02-20,215.1999969482422
2019-02-21,215.39999389648438
2019-02-22,218.0
2019-02-25,207.8000030517578
2019-02-26,209.39999389648438
2019-02-27,211.3000030517578
2019-02-28,213.8000030517578
2019-03-01,221.5
2019-03-04,215.39999389648438
2019-03-05,213.5
2019-03-06,205.8000030517578
2019-03-07,208.1999969482422
2019-03-08,203.6999969482422
2019-03-11,203.10000610351562
2019-03-12,199.5
2019-03-13,204.8000030517578
2019-03-14,200.5
2019-03-15,198.1999969482422
2019-03-18,200.10000610351562
2019-03-19,198.8000030517578
2019-03-20,199.6999969482422
2019-03-21,205.39999389648438
2019-03-22,198.89999389648438
2019-03-25,203.1999969482422
2019-03-26,207.5
2019-03-27,206.89999389648438
2019-03-28,209.89999389648438
2019-03-29,210.1999969482422
2019-04-01,205.1999969482422
2019-04-02,202.89999389648438
2019-04-03,202.0
2019-04-04,199.10000610351562
2019-04-05,186.8000030517578
2019-04-08,186.0
2019-04-09,177.89999389648438
2019-04-10,180.0
2019-04-11,182.6999969482422
2019-04-12,186.5
2019-04-15,187.60000610351562
2019-04-16,190.0
2019-04-17,183.5
2019-04-18,181.0
2019-04-22,182.5
2019-04-23,182.60000610351562
2019-04-24,182.8000030517578
2019-04-25,188.3000030517578
2019-04-26,190.5
2019-04-29,196.10000610351562
2019-04-30,195.0
2019-05-01,195.0
2019-05-02,197.5
2019-05-03,199.60000610351562
2019-05-06,198.5
2019-05-07,198.89999389648438
2019-05-08,200.0
2019-05-09,197.6999969482422
2019-05-10,206.3000030517578
2019-05-13,189.0
2019-05-14,188.0
2019-05-15,192.0
2019-05-16,195.89999389648438
2019-05-17,193.0
2019-05-20,190.10000610351562
2019-05-21,190.6999969482422
2019-05-22,192.0
2019-05-23,190.0
2019-05-24,190.60000610351562
2019-05-28,193.1999969482422
2019-05-29,190.1999969482422
2019-05-30,188.0
2019-05-31,189.10000610351562
2019-06-03,188.10000610351562
2019-06-04,207.10000610351562
2019-06-05,210.6999969482422
2019-06-06,207.89999389648438
2019-06-07,207.1999969482422
2019-06-10,209.3000030517578
2019-06-11,199.39999389648438
2019-06-12,201.1999969482422
2019-06-13,198.89999389648438
2019-06-14,197.39999389648438
2019-06-17,200.60000610351562
2019-06-18,200.10000610351562
2019-06-19,199.10000610351562
2019-06-20,200.5
2019-06-21,202.8000030517578
2019-06-24,202.5
2019-06-25,198.1999969482422
2019-06-26,202.39999389648438
2019-06-27,222.6999969482422
2019-06-28,228.8000030517578
2019-07-01,228.89999389648438
2019-07-02,234.3000030517578
2019-07-03,239.1999969482422
2019-07-05,234.6999969482422
2019-07-08,217.0
2019-07-09,207.0
2019-07-10,196.6999969482422
2019-07-11,192.10000610351562
2019-07-12,190.5
2019-07-15,193.6999969482422
2019-07-16,191.1999969482422
2019-07-17,190.8000030517578
2019-07-18,187.89999389648438
2019-07-19,186.6999969482422
2019-07-22,187.5
2019-07-23,190.0
2019-07-24,193.5
2019-07-25,189.6999969482422
2019-07-26,194.39999389648438
2019-07-29,190.6999969482422
2019-07-30,188.60000610351562
2019-07-31,186.8000030517578
2019-08-01,175.89999389648438
2019-08-02,174.39999389648438
2019-08-05,170.0
2019-08-06,170.10000610351562
2019-08-07,172.3000030517578
2019-08-08,166.1999969482422
2019-08-09,173.10000610351562
2019-08-12,172.60000610351562
2019-08-13,185.3000030517578
2019-08-14,184.3000030517578
